run_idx,seed,best_epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,history_path,model_path
0,42,38,0.5048903383706745,74.73684210526316,0.5116327200019569,76.14035087719299,0.4352238537972434,83.85964912280701,./00_Results/1h/CNN1D/retrain_history_0_42.csv,./00_Results/1h/CNN1D/best_model_0_42.pt
1,123,76,0.4530148827193076,79.82456140350877,0.48167393207550047,76.84210526315789,0.41645483834701674,86.66666666666667,./00_Results/1h/CNN1D/retrain_history_1_123.csv,./00_Results/1h/CNN1D/best_model_1_123.pt
2,236,30,0.4979036326993976,75.43859649122807,0.4913330142958122,75.43859649122807,0.3301811382435916,85.96491228070175,./00_Results/1h/CNN1D/retrain_history_2_236.csv,./00_Results/1h/CNN1D/best_model_2_236.pt
3,679,97,0.46449954227397316,76.9298245614035,0.506344663469415,75.43859649122807,0.5277977737418392,79.64912280701755,./00_Results/1h/CNN1D/retrain_history_3_679.csv,./00_Results/1h/CNN1D/best_model_3_679.pt
4,999,88,0.4383589598170498,78.33333333333333,0.48500566085179647,75.43859649122807,0.39591409835899083,87.71929824561404,./00_Results/1h/CNN1D/retrain_history_4_999.csv,./00_Results/1h/CNN1D/best_model_4_999.pt
