seed,run_idx,epoch,train_loss,train_acc,val_loss,val_acc,lr
999,4,1,0.6555552434502987,61.40350877192982,0.7107167294150905,62.10526315789474,0.00048095662610734473
999,4,2,0.6034270964170757,69.21052631578948,0.6323551117328176,65.6140350877193,0.0004808676262993552
999,4,3,0.5901089651542798,68.50877192982456,0.8460639309464839,55.78947368421053,0.000480719317685541
999,4,4,0.6034653843494884,67.80701754385964,0.6180174225255063,68.0701754385965,0.00048051173685883337
999,4,5,0.5758035283339651,70.52631578947368,0.5908401510171722,69.12280701754386,0.0004802449350366952
999,4,6,0.5675316735317832,70.78947368421052,0.7204352826402899,60.35087719298246,0.00047991897804848386
999,4,7,0.5805508184851261,69.29824561403508,0.6191107787584004,65.6140350877193,0.0004795339463192089
999,4,8,0.5513474491604587,72.71929824561404,0.5756369521743373,69.47368421052632,0.000479089934849688
999,4,9,0.5376671282868636,71.66666666666667,0.6612719671768055,61.05263157894737,0.00047858705319310735
999,4,10,0.5469392506699813,72.19298245614036,0.5581977586997183,69.82456140350877,0.00047802542542799115
999,4,11,0.5429532931562056,72.54385964912281,0.6158689176827147,63.50877192982456,0.0004774051901275865
999,4,12,0.54017989290388,72.98245614035088,0.5539963768239606,69.82456140350877,0.00047672650032567305
999,4,13,0.5291614148700446,72.63157894736842,0.6132932623227437,63.1578947368421,0.00047598952347880383
999,4,14,0.554306071473841,72.01754385964912,0.5481655995051066,72.28070175438596,0.0004751944414249884
999,4,15,0.5263990178442838,74.82456140350877,0.5725590436082137,67.01754385964912,0.0004743414503388262
999,4,16,0.5201501507508127,75.17543859649123,0.5856458066848287,67.71929824561404,0.0004734307606831044
999,4,17,0.5429597275298939,72.01754385964912,0.6876848641194795,58.24561403508772,0.00047246259715686854
999,4,18,0.5385327839014823,72.01754385964912,0.569773034463849,68.7719298245614,0.00047143719863998175
999,4,19,0.5229856352011363,73.0701754385965,0.5677749711170531,70.52631578947368,0.0004703548181341846
999,4,20,0.5208266963038528,75.0,0.5417580494755193,71.9298245614035,0.0004692157227006711
999,4,21,0.5039533393424854,76.05263157894737,0.6105361185575786,68.0701754385965,0.00046802019339419463
999,4,22,0.5183215289785151,75.6140350877193,0.5318069382717735,72.28070175438596,0.0004667685251937226
999,4,23,0.5332689960797627,74.21052631578948,0.5638580414286831,71.57894736842105,0.0004654610269296544
999,4,24,0.5201746384302776,74.91228070175438,0.5600794564213669,70.87719298245614,0.00046409802120762195
999,4,25,0.5180542655158461,73.42105263157895,0.6203747422025915,61.40350877192982,0.0004626798443288923
999,4,26,0.5131700392354999,74.91228070175438,0.5627083758513133,69.47368421052632,0.0004612068462073895
999,4,27,0.5050565516739561,75.96491228070175,0.7174238767540245,56.14035087719298,0.0004596793902833592
999,4,28,0.5275039193923013,74.21052631578948,0.5298677944300467,72.98245614035088,0.0004580978534336948
999,4,29,0.51785590209459,74.21052631578948,0.5446583312854433,72.98245614035088,0.0004564626258789488
999,4,30,0.4946383511810972,76.40350877192982,0.5626381713047363,67.36842105263158,0.00045477411108705207
999,4,31,0.49092198129285847,75.96491228070175,0.535933571635631,70.52631578947368,0.00045303272567376367
999,4,32,0.510534875121033,75.96491228070175,0.5805876190202278,70.17543859649123,0.00045123889929987726
