number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bottleneck_channels,params_kernel_size,params_label_smoothing,params_lr,params_num_blocks,params_num_branches,params_num_modules,params_out_channels,params_weight_decay,user_attrs_best_loss,user_attrs_best_test_acc,user_attrs_best_train_acc,user_attrs_best_val_acc,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
24,0.6191698616503837,2026-03-10 11:06:14.907466,2026-03-10 11:06:28.557938,0 days 00:00:13.650472,64,64,65,0.056502759505793664,0.009734854016572276,1,4,1,32,0.00011073329656584473,,,,,0.6191698616503837,,,PRUNED
25,0.584638425400952,2026-03-10 11:06:28.558394,2026-03-10 11:08:49.038393,0 days 00:02:20.479999,32,32,33,0.0855656370106113,0.001151625749264801,2,3,3,128,5.428716684701911e-05,0.584638425400952,0.0,68.84816753926701,69.45898778359512,,,,COMPLETE
26,,2026-03-10 11:08:49.039216,2026-03-10 11:09:38.835574,0 days 00:00:49.796358,32,64,129,0.025902739578096315,0.0029012059550887026,3,4,2,16,6.591173268493278e-06,,,,,,,,PRUNED
27,0.5754912946028651,2026-03-10 11:09:38.836022,2026-03-10 11:10:21.182037,0 days 00:00:42.346015,64,8,9,0.015905113451236505,0.00022811150878971283,1,4,1,64,1.5197341441298512e-05,,,,,0.5754912946028651,,,PRUNED
28,0.5632549681380573,2026-03-10 11:10:21.182526,2026-03-10 11:10:57.959817,0 days 00:00:36.777291,16,2,17,0.11234583643274326,0.006766605649470737,2,3,3,8,0.0002274065921356986,,,,,0.5740186747872185,0.5632549681380573,,PRUNED
29,,2026-03-10 11:10:57.960244,2026-03-10 11:12:01.460327,0 days 00:01:03.500083,16,32,33,0.1397715155059147,0.0020294530155587757,4,2,3,16,2.4220712412604215e-05,,,,,,,,PRUNED
30,0.5989213984258096,2026-03-10 11:12:01.460762,2026-03-10 11:12:07.045557,0 days 00:00:05.584795,32,32,65,0.03707364479560847,0.0004707185622663264,1,3,4,32,3.0067127733407707e-06,,,,,0.5989213984258096,,,PRUNED
31,0.5514510854376549,2026-03-10 11:12:07.046005,2026-03-10 11:14:43.434464,0 days 00:02:36.388459,16,32,33,0.15389412215241743,0.0007234908426013558,4,1,3,16,0.0007320021065142258,0.5514510854376549,0.0,74.69458987783595,73.82198952879581,,,,COMPLETE
32,0.5509664363261917,2026-03-10 11:14:43.435763,2026-03-10 11:15:50.457084,0 days 00:01:07.021321,16,32,33,0.175210722231613,0.0005311978825049957,4,3,2,16,0.0009459526454484282,,,,,0.586416401476136,0.5509664363261917,,PRUNED
33,,2026-03-10 11:15:50.457563,2026-03-10 11:23:48.095244,0 days 00:07:57.637681,16,16,5,0.1273697333701447,0.0013039275717404326,4,3,3,256,0.00035725981801906526,,,,,,,,PRUNED
34,0.6224213958202648,2026-03-10 11:23:48.095734,2026-03-10 11:23:59.958395,0 days 00:00:11.862661,128,64,33,0.11688949398324322,0.0001887123211143533,3,3,2,16,1.5575085510994306e-06,,,,,0.6224213958202648,,,PRUNED
35,0.4801811095307635,2026-03-10 11:23:59.958896,2026-03-10 11:28:26.168875,0 days 00:04:26.209979,128,32,17,0.17520900239383772,0.0005195112798873238,3,4,3,64,3.866008506326285e-06,0.4801811095307635,0.0,82.54799301919721,76.43979057591623,0.5540296273081714,0.5225538524033512,,COMPLETE
36,0.594646670847455,2026-03-10 11:28:26.169398,2026-03-10 11:29:01.248495,0 days 00:00:35.079097,128,32,17,0.1752823504386308,0.00028284217319656814,3,4,3,64,4.9842321887684875e-06,,,,,0.594646670847455,,,PRUNED
37,0.6320943526572582,2026-03-10 11:29:01.248959,2026-03-10 11:29:35.316578,0 days 00:00:34.067619,128,4,17,0.19948920240449738,0.00010624014194065224,3,4,4,64,3.586711065659105e-06,,,,,0.6320943526572582,,,PRUNED
38,,2026-03-10 11:29:35.317051,2026-03-10 11:31:25.566121,0 days 00:01:50.249070,128,64,17,0.18578289321603517,0.0004995398944296725,3,4,3,64,8.481892977004257e-06,,,,,,,,PRUNED
39,,2026-03-10 11:31:25.566603,2026-03-10 11:32:39.494770,0 days 00:01:13.928167,128,8,17,0.14807064286662416,0.00598051799098034,2,4,2,256,3.7952631807342316e-05,,,,,,,,PRUNED
40,0.4999865846900208,2026-03-10 11:32:39.495266,2026-03-10 11:35:32.665105,0 days 00:02:53.169839,128,32,9,0.16526043699463042,0.0008881887376925099,3,1,1,64,1.1897505572118795e-05,0.4999865846900208,0.0,79.45026178010471,76.09075043630017,,,,COMPLETE
41,0.6094493083720848,2026-03-10 11:35:32.665746,2026-03-10 11:35:50.774522,0 days 00:00:18.108776,128,32,9,0.1682174070528206,0.0007936669588221124,3,1,1,64,1.2081590502396233e-05,,,,,0.6094493083720848,,,PRUNED
42,0.65318912673371,2026-03-10 11:35:50.775053,2026-03-10 11:36:43.215936,0 days 00:00:52.440883,128,32,9,0.18223442916491825,0.0009706112565820075,3,1,1,64,4.807413958776165e-06,,,,,0.65318912673371,,,PRUNED
43,,2026-03-10 11:36:43.216416,2026-03-10 11:38:26.933378,0 days 00:01:43.716962,128,32,9,0.137786429513258,0.0004001748306926228,3,2,1,64,6.908453025762705e-06,,,,,,,,PRUNED
44,0.602196763947372,2026-03-10 11:38:26.933868,2026-03-10 11:38:34.214792,0 days 00:00:07.280924,128,4,129,0.19288051734644715,0.001755613555443192,3,2,1,8,2.033432094517665e-05,,,,,0.602196763947372,,,PRUNED
45,inf,2026-03-10 11:38:34.215310,2026-03-10 11:41:53.051527,0 days 00:03:18.836217,32,32,9,0.16541657125418485,0.003180036845471364,3,1,2,128,1.296627309024657e-05,inf,0.0,0.0,0.0,,,,COMPLETE
46,0.4890740171568972,2026-03-10 11:41:53.052214,2026-03-10 11:44:17.353557,0 days 00:02:24.301343,32,2,17,0.15083644073487357,0.0006305566931012777,2,4,4,64,7.287870187451691e-05,0.4890740171568972,0.0,82.89703315881326,74.3455497382199,0.518616540373724,0.5065194334035145,,COMPLETE
47,0.5909247554409567,2026-03-10 11:44:17.354661,2026-03-10 11:44:27.005552,0 days 00:00:09.650891,32,2,17,0.001933398824793868,0.0006041917828299186,2,4,4,32,6.760525082397672e-05,,,,,0.5909247554409567,,,PRUNED
48,0.7116165575140642,2026-03-10 11:44:27.005992,2026-03-10 11:44:32.650502,0 days 00:00:05.644510,32,2,17,0.12618287587621535,0.00026104197412447016,1,4,4,8,7.268789341518504e-05,,,,,0.7116165575140642,,,PRUNED
49,0.4830934467740084,2026-03-10 11:44:32.650972,2026-03-10 11:53:23.348794,0 days 00:08:50.697822,32,2,17,0.14553570228686974,0.00015434124486122643,2,4,4,256,0.0001850302267820292,0.4830934467740084,0.0,78.35951134380454,75.39267015706807,0.5071051912365991,,,COMPLETE
50,0.5357750508589686,2026-03-10 11:53:23.349403,2026-03-10 11:54:21.953893,0 days 00:00:58.604490,32,2,17,0.06041410731591483,0.00013696246245935298,1,4,3,256,0.00019342375165646477,,,,,0.5785478241156533,0.5357750508589686,,PRUNED
51,0.5340585435040126,2026-03-10 11:54:21.954349,2026-03-10 12:03:51.549118,0 days 00:09:29.594769,32,2,17,0.14797972032621762,0.0001636870210492505,2,4,4,256,0.0001285069816940721,,,,,0.4908256707599234,0.5340585435040126,,PRUNED
52,0.491360470990652,2026-03-10 12:03:51.549666,2026-03-10 12:12:39.539541,0 days 00:08:47.989875,32,2,17,0.1546408117842328,0.00030501040555902406,2,4,4,256,0.00017419217808841033,0.491360470990652,0.0,81.45724258289704,76.61431064572426,0.5318608735452356,0.49943120379722555,,COMPLETE
53,0.5257131298175033,2026-03-10 12:12:39.540483,2026-03-10 12:13:04.533663,0 days 00:00:24.993180,32,2,17,0.1323364901660883,0.00041931879418874516,2,4,4,32,8.548839000308142e-05,,,,,0.5257131298175033,,,PRUNED
54,0.5824844818464748,2026-03-10 12:13:04.534134,2026-03-10 12:14:03.443500,0 days 00:00:58.909366,32,2,17,0.14007148638267658,0.0005695354274803791,1,4,4,256,5.1138467147963315e-05,,,,,0.5723396439826925,0.5824844818464748,,PRUNED
55,0.528887383288738,2026-03-10 12:14:03.443931,2026-03-10 12:14:36.166823,0 days 00:00:32.722892,64,16,65,0.10781619855986233,0.004533097747158327,2,4,4,8,0.0003452093301778867,0.528887383288738,0.0,73.51657940663176,73.47294938917976,,,,COMPLETE
56,0.5990814688318062,2026-03-10 12:14:36.167701,2026-03-10 12:14:49.391078,0 days 00:00:13.223377,32,64,5,0.09079385009293987,0.007775375967295879,1,4,3,32,3.0762952807986835e-05,,,,,0.5990814688318062,,,PRUNED
57,0.6335185304362112,2026-03-10 12:14:49.391554,2026-03-10 12:17:07.089552,0 days 00:02:17.697998,32,64,17,0.012220688256946622,0.0006690044960963692,2,4,4,64,1.8059772449648347e-06,,,,,0.5683405116382486,0.5229027956776178,0.6335185304362112,PRUNED
58,0.5948519882523369,2026-03-10 12:17:07.090009,2026-03-10 12:17:18.151189,0 days 00:00:11.061180,64,2,129,0.05121843354708844,0.00034549224966573007,1,3,4,128,2.1667216964933428e-06,,,,,0.5948519882523369,,,PRUNED
59,1.2518989005846086,2026-03-10 12:17:18.151698,2026-03-10 12:18:38.300591,0 days 00:01:20.148893,32,4,65,0.03340107548353571,0.003487933107719932,2,4,3,32,1.0447943548165819e-06,,,,,1.2518989005846086,,,PRUNED
