epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.354176844673371,83.24607329842932,0.4631375706840768,79.93019197207678,0.00014117897090255553
2,0.34140107805400205,84.81675392670157,0.4440321351221095,79.75567190226876,0.0001411779258688301
3,0.33558348016277034,84.64223385689354,0.5495008355035832,75.043630017452,0.00014117618415741452
4,0.3370073219244393,86.08202443280977,0.44899759950022006,80.10471204188482,0.0001411737457854987
5,0.32054974806915976,85.82024432809773,0.48246159551447393,79.75567190226876,0.00014117061077714843
6,0.28638795522703137,87.43455497382199,0.469279643544768,78.53403141361257,0.00014116677916330494
7,0.28814116904404774,87.17277486910994,0.5713334441393042,77.4869109947644,0.00014116225098178477
8,0.2762164269650378,87.91448516579406,0.5442473782294708,78.18499127399652,0.00014115702627727917
9,0.26734854327758567,88.56893542757417,0.46527051124689256,81.32635253054102,0.00014115110510135392
10,0.23804332469354333,89.17975567190227,0.5854569427005908,78.18499127399652,0.00014114448751244863
11,0.21966026072596798,90.0087260034904,0.7380966038604058,76.26527050610821,0.0001411371735758762
12,0.21193013554942805,91.36125654450262,0.5887700598069302,77.66143106457243,0.00014112916336382224
13,0.19549681711129285,91.8848167539267,0.7191554692819272,78.70855148342059,0.0001411204569553443
14,0.18875867944295285,92.19022687609075,0.7051932666106165,76.78883071553228,0.0001411110544363712
15,0.167767884056157,92.97556719022688,0.7918474155154736,79.58115183246073,0.00014110095589970194
16,0.18028626978042409,93.32460732984293,0.8562537916459755,77.83595113438045,0.00014109016144500498
17,0.17467650744810467,93.15008726003491,0.7787300235938027,80.10471204188482,0.00014107867117881722
18,0.1589089710392175,93.67364746945898,0.927109029800688,78.70855148342059,0.00014106648521454302
19,0.13613554391600385,94.28446771378708,1.0961846344133945,76.43979057591623,0.00014105360367245288
20,0.1342605904986461,94.9825479930192,1.1784467405881764,77.13787085514834,0.0001410400266796824
21,0.13312011893251893,94.58987783595113,1.1357848423729808,77.83595113438045,0.00014102575437023108
22,0.11333047751357483,96.59685863874346,1.285893182505904,80.97731239092495,0.0001410107868849608
23,0.09865513074536439,96.59685863874346,1.324516441614528,79.40663176265271,0.0001409951243715946
24,0.10670884961285093,96.11692844677138,1.3248787059937888,79.05759162303664,0.00014097876698471518
25,0.09067906646256459,96.81500872600348,1.4757778985754149,80.97731239092495,0.00014096171488576337
26,0.11931588376064038,96.46596858638743,1.5782977665074,81.32635253054102,0.00014094396824303646
27,0.10222535405854223,97.12041884816755,1.9333194908255267,79.23211169284468,0.00014092552723168666
28,0.09208645188960558,97.07678883071553,1.7428246209134606,80.27923211169285,0.00014090639203371934
29,0.060521274082580984,98.34205933682374,2.1198594066693106,77.83595113438045,0.00014088656283799112
30,0.0663532866546871,97.94938917975567,1.9640692441771377,79.23211169284468,0.0001408660398402082
31,0.10839964300439009,97.25130890052355,1.618207015331191,80.97731239092495,0.00014084482324292427
32,0.07850850890458731,98.08027923211169,2.5328993181101525,76.78883071553228,0.00014082291325553858
33,0.07555553929078199,98.29842931937172,2.2457405153473426,78.53403141361257,0.00014080031009429384
34,0.07214530222421534,98.29842931937172,2.243100036033161,79.75567190226876,0.00014077701398227416
35,0.05817969769352169,98.29842931937172,2.1514595756356005,79.23211169284468,0.00014075302514940277
36,0.0639617862629844,98.08027923211169,2.154181318861444,79.05759162303664,0.00014072834383243972
37,0.08299463863008878,97.60034904013962,2.3910430720235247,78.18499127399652,0.00014070297027497967
38,0.03794209250197355,98.90924956369983,2.640283206526522,79.23211169284468,0.00014067690472744938
39,0.06060265051809032,98.29842931937172,2.9930942112654706,77.31239092495638,0.00014065014744710528
40,0.083421648875514,97.99301919720767,2.0487614381167694,79.75567190226876,0.00014062269869803096
41,0.0981782339179995,97.68760907504362,2.404143986277555,78.53403141361257,0.00014059455875113443
42,0.07981852190472523,97.73123909249564,2.238480947196588,80.27923211169285,0.00014056572788414564
43,0.06352106803388383,98.03664921465969,2.501768600566225,80.6282722513089,0.00014053620638161362
44,0.04832032558621721,98.99650959860384,2.5901070502416004,78.01047120418848,0.00014050599453490365
45,0.030840792205430102,98.99650959860384,2.415627079276306,79.93019197207678,0.0001404750926421945
46,0.057246128681622134,98.51657940663176,3.2302102326930715,74.3455497382199,0.00014044350100847532
47,0.07166542603876952,98.25479930191972,2.3824343108895105,81.67539267015707,0.00014041121994554285
48,0.0633956613521137,98.21116928446772,2.4011827425520873,79.05759162303664,0.00014037824977199812
49,0.049905574890678935,98.51657940663176,2.5178900156137622,78.18499127399652,0.00014034459081324342
50,0.04255212721334866,98.77835951134381,2.6921450721447795,78.53403141361257,0.00014031024340147906
51,0.0392025352909869,98.86561954624781,2.695199157555066,77.83595113438045,0.00014027520787570017
52,0.05048131701430711,98.69109947643979,2.473816188842214,79.93019197207678,0.00014023948458169322
