run_idx,seed,best_epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,history_path,model_path
0,42,101,0.3383738472147554,83.90052356020942,0.4710486094364945,76.43979057591623,0.47986373786422803,78.53403141361257,./00_Results/30min/CNN1D/retrain_history_0_42.csv,./00_Results/30min/CNN1D/best_model_0_42.pt
1,123,104,0.3310674139758471,84.11867364746946,0.4688317264977966,77.13787085514834,0.5712264151057231,74.52006980802793,./00_Results/30min/CNN1D/retrain_history_1_123.csv,./00_Results/30min/CNN1D/best_model_1_123.pt
2,236,102,0.3347833295975264,84.3804537521815,0.4574497252650702,75.74171029668412,0.6375715856620778,72.94938917975567,./00_Results/30min/CNN1D/retrain_history_2_236.csv,./00_Results/30min/CNN1D/best_model_2_236.pt
3,679,131,0.30211168439184394,86.1692844677138,0.465438030361089,77.83595113438045,0.8191436278726418,70.50610820244329,./00_Results/30min/CNN1D/retrain_history_3_679.csv,./00_Results/30min/CNN1D/best_model_3_679.pt
4,999,78,0.35661316984194946,82.98429319371728,0.4715627649275628,77.4869109947644,0.5584324098486343,71.37870855148343,./00_Results/30min/CNN1D/retrain_history_4_999.csv,./00_Results/30min/CNN1D/best_model_4_999.pt
