epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.613326214058861,66.36125654450262,0.6999149809333043,51.13438045375218,0.005038163664828981
2,0.5762468457846117,70.85514834205934,0.604063982114742,67.36474694589877,0.005038126371378616
3,0.5595254865824448,71.29144851657941,0.6140543078876914,67.71378708551484,0.0050380642160369775
4,0.5411972334351631,72.20767888307155,0.5606684407014497,69.9825479930192,0.005037977199417512
5,0.5460841445606625,72.16404886561955,0.6614524384027585,64.22338568935427,0.005037865322379038
6,0.529232963841623,73.73472949389179,0.5604721243260835,71.55322862129145,0.005037728586025738
7,0.5234525057553829,73.51657940663176,0.5682641409246502,69.63350785340315,0.005037566991707145
8,0.5129173279432726,74.52006980802793,0.5455836881517739,71.37870855148343,0.005037380541018127
9,0.5048392512827435,75.08726003490402,0.5270998869058765,73.29842931937172,0.00503716923579888
10,0.5062691019051571,73.99650959860384,0.5720264964702866,68.41186736474694,0.0050369330781349
11,0.506988362388045,74.30191972076788,0.6447621767017437,66.8411867364747,0.0050366720703569675
12,0.488668225094494,74.91273996509598,0.5484655913466142,72.4258289703316,0.005036386215041124
13,0.4692888566752795,77.31239092495638,0.5079612562377623,74.69458987783595,0.005036075515008646
14,0.49349328573877693,75.87260034904014,0.6123250143482215,71.9022687609075,0.005035739973326019
15,0.4876618779558578,76.22164048865619,0.5018336835331941,74.52006980802793,0.005035379593304902
16,0.48041079524923996,76.48342059336824,0.6116396436308483,70.50610820244329,0.005034994378502101
17,0.47288594788905836,76.8760907504363,0.5885596427201809,69.45898778359512,0.00503458433271953
18,0.46892997404043585,76.8760907504363,0.48983162547905407,76.78883071553228,0.005034149460004176
19,0.4686288560040126,77.18150087260035,0.5994181134729901,71.72774869109948,0.005033689764648058
20,0.4624634052238331,76.65794066317626,0.5090085093263557,76.96335078534031,0.005033205251188181
21,0.4772248381511495,76.13438045375219,0.4903012770008666,75.21815008726003,0.0050326959244065
22,0.4656809344757706,76.70157068062828,0.5763086041022761,71.55322862129145,0.005032161789329862
23,0.4404524191303819,78.27225130890052,0.5144568127279299,76.78883071553228,0.005031602851229967
24,0.4386362161935936,78.53403141361257,0.5411779420746142,73.1239092495637,0.005031019115623307
25,0.4361980257858157,79.05759162303664,0.5231900034150528,72.77486910994764,0.005030410588271118
